source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Marry,,2019-10-11 14:40:11,"Ngoài kia nếu có khó khăn quá về nhà Em nhé, có Anh chờ... Photo: Be",602,443,96,60,,3,,164 bình luậ,2840024949343492,/story.php?story_fbid=2840024949343492&id=139409226071758
Marry,,2019-10-10 22:00:09,Nắm tay nhau đến các điểm này ở Đà Lạt thì còn gì bằng nè,82,76,,6,,,,5 bình luậ,2838603932818927,/story.php?story_fbid=2838603932818927&id=139409226071758
"Marry,Ham TV,Ham TV,Phim Hay",,2019-10-11 12:12:39,"Đừng kết hôn chỉ vì gia đình hay tuổi tác, hãy chỉ kết hôn khi trái tim thấy cần. Video: Tình+Hãy cho đi những điều tốt đẹp, rồi bạn sẽ nhận được nhiều hơn thế! 🥰Không ai giàu ba họ, không ai khó ba đời. (Y) Hãy trân trọng những ngày tháng khó khăn và không ngừng cố gắng! 💪Mẹ chỉ cần tình yêu mà không cần đến con gái mình. Tội cô bé quá :( Link full: https://youtu.be/zLfwg9bTd_I",,,,,,,,14 bình luậ,2438159103090631,/Marry.vn/videos/2438159103090631/?refid=17&_ft_=mf_story_key.2839839872695333%3Atop_level_post_id.2438159103090631%3Atl_objid.2438159103090631%3Acontent_owner_id_new.139409226071758%3Athrowback_story_fbid.2839839872695333%3Apage_id.139409226071758%3Aphoto_id.2438159103090631%3Astory_location.4%3Astory_attachment_style.video_inline%3Apage_insights.%7B%22139409226071758%22%3A%7B%22page_id%22%3A139409226071758%2C%22actor_id%22%3A139409226071758%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntVideoCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A1%2C%22publish_time%22%3A1570770759%2C%22story_name%22%3A%22EntVideoCreationStory%22%2C%22story_fbid%22%3A%5B2839839872695333%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A4%2C%22targets%22%3A%5B%7B%22actor_id%22%3A139409226071758%2C%22page_id%22%3A139409226071758%2C%22post_id%22%3A2438159103090631%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.139409226071758%3A306061129499414%3A54%3A0%3A1572591599%3A-8442129896423327909&__tn__=%2AW-R#footer_action_list
"Marry,Ham TV,Ham TV,Phim Hay",,2019-10-09 21:17:46,"Xứng đôi thì cưới thôi!Hãy cho đi những điều tốt đẹp, rồi bạn sẽ nhận được nhiều hơn thế! 🥰Không ai giàu ba họ, không ai khó ba đời. (Y) Hãy trân trọng những ngày tháng khó khăn và không ngừng cố gắng! 💪Mẹ chỉ cần tình yêu mà không cần đến con gái mình. Tội cô bé quá :( Link full: https://youtu.be/zLfwg9bTd_I",,,,,,,,40 bình luậ,463838537557285,/Marry.vn/videos/463838537557285/?refid=17&_ft_=mf_story_key.2836488019697185%3Atop_level_post_id.463838537557285%3Atl_objid.463838537557285%3Acontent_owner_id_new.139409226071758%3Athrowback_story_fbid.2836488019697185%3Apage_id.139409226071758%3Aphoto_id.463838537557285%3Astory_location.4%3Astory_attachment_style.video_inline%3Apage_insights.%7B%22139409226071758%22%3A%7B%22page_id%22%3A139409226071758%2C%22actor_id%22%3A139409226071758%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntVideoCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A1%2C%22publish_time%22%3A1570630666%2C%22story_name%22%3A%22EntVideoCreationStory%22%2C%22story_fbid%22%3A%5B2836488019697185%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A4%2C%22targets%22%3A%5B%7B%22actor_id%22%3A139409226071758%2C%22page_id%22%3A139409226071758%2C%22post_id%22%3A463838537557285%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.139409226071758%3A306061129499414%3A54%3A0%3A1572591599%3A4768134505933789780&__tn__=%2AW-R#footer_action_list
Marry,,2019-10-08 11:03:34,Vì 𝐀𝐧𝐡 thương 𝐄𝐦 như thương hạt mưa non dại... Cre: Beisme,"1,2K",1K,31,175,1,4,,227 bình luậ,2833519009994086,/story.php?story_fbid=2833519009994086&id=139409226071758
"Marry,Ham TV,Ham TV,Phim Hay",,2019-10-07 10:30:00,"Remember when – đó là một tình yêu không nồng nhiệt, cháy bỏng mà chỉ đơn giản là sự mộc mạc và chân thành đến từ 2 trái tim. Bài nhạc khiến người nghe mĩm cười trong xúc động... Nguồn: STHãy cho đi những điều tốt đẹp, rồi bạn sẽ nhận được nhiều hơn thế! 🥰Không ai giàu ba họ, không ai khó ba đời. (Y) Hãy trân trọng những ngày tháng khó khăn và không ngừng cố gắng! 💪Mẹ chỉ cần tình yêu mà không cần đến con gái mình. Tội cô bé quá :( Link full: https://youtu.be/zLfwg9bTd_I",,,,,,,,17 bình luậ,416386752400627,/Marry.vn/videos/416386752400627/?refid=17&_ft_=mf_story_key.2831501816862472%3Atop_level_post_id.416386752400627%3Atl_objid.416386752400627%3Acontent_owner_id_new.139409226071758%3Athrowback_story_fbid.2831501816862472%3Apage_id.139409226071758%3Aphoto_id.416386752400627%3Astory_location.4%3Astory_attachment_style.video_inline%3Apage_insights.%7B%22139409226071758%22%3A%7B%22page_id%22%3A139409226071758%2C%22actor_id%22%3A139409226071758%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntVideoCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A1%2C%22publish_time%22%3A1570419000%2C%22story_name%22%3A%22EntVideoCreationStory%22%2C%22story_fbid%22%3A%5B2831501816862472%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A4%2C%22targets%22%3A%5B%7B%22actor_id%22%3A139409226071758%2C%22page_id%22%3A139409226071758%2C%22post_id%22%3A416386752400627%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.139409226071758%3A306061129499414%3A54%3A0%3A1572591599%3A-2514532598705646757&__tn__=%2AW-R#footer_action_list
Marry,,2019-10-06 19:58:30,"Điều tuyệt vời nhất của Hôn Nhân có lẽ không nằm ở những chuyến du lịch đắt tiền, những món quà tặng xa xỉ.  Mà là, sau những bôn ba cuộc đời, những lúc “cơm không lành, canh không ngọt”, thì Chúng Ta - vẫn dựa vào vai nhau đi đến cuối con đường đã chọn. ❤️🏠",340,289,,48,,3,,25 bình luậ,2830083913670929,/story.php?story_fbid=2830083913670929&id=139409226071758
Marry,,2019-10-05 21:21:15,"Loạt  “thính thơm” giúp các F.A sớm có đôi có cặp nhé. “Không có liều thuốc nào cho tình yêu, ngoại trừ yêu nhiều hơn nữa” ❤️❤️👌🏻 Photo: truyenthanhxuan",153,133,10,10,,,,26 bình luậ,2828037857208868,/story.php?story_fbid=2828037857208868&id=139409226071758
Marry,,2019-10-03 20:36:00,U mê hết sức 😂😂😂 Cre: Điều Nhỏ Xíu Xiu,317,190,100,25,,2,,66 bình luậ,2822922281053759,/story.php?story_fbid=2822922281053759&id=139409226071758
Marry,,2019-10-01 21:42:00,"Đừng bao giờ để người phụ nữ của bạn biết rằng bạn và quá khứ của bạn còn liên lạc với nhau. Hãy nhớ cho dù một người đàn bà có rộng lượng đến đâu cũng không bao giờ có thể vô tư với quá khứ. Đối với quá khứ, hãy giữ châm ngôn: ""Không liên lạc, không gặp gỡ, không hỏi han và đi ngang qua cũng như người lạ"". Đấy là cách bạn tôn trọng người phụ nữ bên cạnh và là cách bạn giữ trọn vẹn hạnh phúc ở bên mình. Hãy nhớ, quá khứ hạnh phúc thì đã không bỏ lỡ, một khi bỏ lỡ thì chính là kém duyên. Trên đời không có khái niệm: ""Anh với cô ấy chỉ làm bạn"". Hay là: ""Anh chỉ coi cô ấy như em gái"". Hãy hiểu, quá khứ không rạch ròi thì đừng đòi hỏi niềm vui viên mãn ở hiện tại. Đàn bà thường ngày rộng lượng bao nhiêu, nhưng đối với người yêu cũ của đàn ông thì càng hẹp hòi bấy nhiêu. Đàn ông ích kỷ với quá khứ đàn bà thế nào, đàn bà cũng có sự ích kỷ tương tự như thế. ""Người yêu cũ và người yêu mới là hai phạm trù tuyệt đối không thể đặt chung một thời điểm và là hai vật thể cần phải cách ly tuyệt đối không thể song hành cùng trên một con đường"". #NP",291,267,11,11,,2,,37 bình luậ,2819069614772359,/story.php?story_fbid=2819069614772359&id=139409226071758
